2021-01-07 23:32:22,675 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 54
2021-01-07 23:32:22,681 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 55
2021-01-07 23:32:22,688 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 56
2021-01-07 23:32:22,694 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 57
2021-01-07 23:32:22,701 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 58
2021-01-07 23:32:22,708 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 59
2021-01-07 23:32:22,715 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 6
2021-01-07 23:32:22,720 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 60
2021-01-07 23:32:22,726 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 61
2021-01-07 23:32:22,733 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 62
2021-01-07 23:32:22,740 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 63
2021-01-07 23:32:22,744 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 64
2021-01-07 23:32:22,749 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 65
2021-01-07 23:32:22,753 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 66
2021-01-07 23:32:22,760 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 67
2021-01-07 23:32:22,766 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 68
2021-01-07 23:32:22,773 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 69
2021-01-07 23:32:22,780 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 7
2021-01-07 23:32:22,786 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 70
2021-01-07 23:32:22,793 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 71
