2021-01-07 16:51:33,038 - data_pipeline - INFO - CampaignParameters - Reading Campaign Parameters
2021-01-07 16:51:33,043 - data_pipeline - INFO - ProcessXRF - Processing XRF
2021-01-07 16:55:01,262 - data_pipeline - INFO - ProcessInputs - Processing XRF
2021-01-07 16:55:02,044 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 6
2021-01-07 16:55:02,048 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 60
2021-01-07 16:55:02,052 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 61
2021-01-07 16:55:02,057 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 62
2021-01-07 16:55:02,061 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 63
2021-01-07 16:55:02,066 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 64
2021-01-07 16:55:02,070 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 65
2021-01-07 16:55:02,075 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 66
2021-01-07 16:55:02,079 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 67
2021-01-07 16:55:02,084 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 68
2021-01-07 16:55:02,088 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 69
2021-01-07 16:55:02,093 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 7
2021-01-07 16:55:02,098 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 70
2021-01-07 16:55:02,102 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 71
2021-01-07 16:55:02,107 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 72
2021-01-07 16:55:02,112 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 73
2021-01-07 16:55:02,116 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 74
2021-01-07 16:55:02,121 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 75
2021-01-07 16:55:02,126 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 76
2021-01-07 16:55:02,131 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 77
2021-01-07 16:55:02,136 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 78
2021-01-07 16:55:02,140 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 79
2021-01-07 16:55:02,146 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 8
2021-01-07 16:55:02,151 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 80
2021-01-07 16:55:02,156 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 81
2021-01-07 16:55:02,160 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 82
2021-01-07 16:55:02,165 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 83
2021-01-07 16:55:02,169 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 84
2021-01-07 16:55:02,174 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 85
2021-01-07 16:55:02,179 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 86
2021-01-07 16:55:02,184 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 87
2021-01-07 16:55:02,189 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 88
2021-01-07 16:55:02,193 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 89
2021-01-07 16:55:02,199 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 9
2021-01-07 16:55:02,203 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 90
2021-01-07 16:55:02,207 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 91
2021-01-07 16:55:02,211 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 92
2021-01-07 16:55:02,215 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 93
2021-01-07 16:55:02,220 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 94
2021-01-07 16:55:02,225 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 95
2021-01-07 16:55:02,231 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 96
2021-01-07 16:55:02,236 - data_pipeline - INFO - ProcessConductance - Processing Conductivity for sample 14
2021-01-07 16:55:02,236 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 0
