Unnamed: 0,Current,Voltage,sample,position
2,0.0004,10.0023,25,38
3,0.0006,10.0021,25,38
4,0.0008,10.0021,25,38
5,0.001,10.0021,25,38
0,0.0,3.49755,25,39
1,0.0002,10.002,25,39
2,0.0004,10.002,25,39
3,0.0006,10.002,25,39
4,0.0008,10.0019,25,39
5,0.001,10.0019,25,39
0,0.0,3.99802,25,4
1,0.0002,10.0021,25,4
2,0.0004,10.0019,25,4
3,0.0006,10.0018,25,4
4,0.0008,10.0018,25,4
5,0.001,10.0018,25,4
0,0.0,2.28534,25,40
1,0.0002,10.0019,25,40
2,0.0004,10.0021,25,40
3,0.0006,10.002,25,40
4,0.0008,10.002,25,40
5,0.001,10.002,25,40
0,0.0,3.64466,25,41
1,0.0002,10.0019,25,41
2,0.0004,10.002,25,41
3,0.0006,10.0019,25,41
4,0.0008,10.0019,25,41
5,0.001,10.0019,25,41
0,0.0,5.106730000000001,25,42
1,0.0002,10.0017,25,42
2,0.0004,10.0016,25,42
3,0.0006,10.0015,25,42
4,0.0008,10.0016,25,42
5,0.001,10.0015,25,42
0,0.0,2.20369,25,43
1,0.0002,10.0023,25,43
2,0.0004,10.0024,25,43
3,0.0006,10.0022,25,43
4,0.0008,10.0022,25,43
5,0.001,10.0022,25,43
0,0.0,4.06307,25,44
1,0.0002,10.002,25,44
2,0.0004,10.0018,25,44
3,0.0006,10.0018,25,44
4,0.0008,10.0018,25,44
5,0.001,10.0018,25,44
0,0.0,3.91627,25,45
1,0.0002,10.0019,25,45
2,0.0004,10.0017,25,45
3,0.0006,10.0017,25,45
4,0.0008,10.0017,25,45
5,0.001,10.0018,25,45
0,0.0,4.05331,25,46
1,0.0002,10.002,25,46
2,0.0004,10.0018,25,46
3,0.0006,10.0018,25,46
4,0.0008,10.0018,25,46
5,0.001,10.0018,25,46
0,0.0,3.4552400000000003,25,47
1,0.0002,10.0018,25,47
2,0.0004,10.0018,25,47
3,0.0006,10.0018,25,47
4,0.0008,10.0018,25,47
5,0.001,10.0019,25,47
0,0.0,3.95568,25,48
1,0.0002,10.0019,25,48
2,0.0004,10.0019,25,48
3,0.0006,10.0019,25,48
4,0.0008,10.002,25,48
5,0.001,10.0021,25,48
0,0.0,4.57121,25,49
1,0.0002,10.0016,25,49
2,0.0004,10.0016,25,49
3,0.0006,10.0019,25,49
4,0.0008,10.0019,25,49
5,0.001,10.0019,25,49
0,0.0,4.0805,25,5
1,0.0002,10.002,25,5
2,0.0004,10.0019,25,5
3,0.0006,10.0018,25,5
4,0.0008,10.0018,25,5
5,0.001,10.0018,25,5
0,0.0,0.000936985,25,50
1,0.0002,10.0021,25,50
2,0.0004,10.002,25,50
3,0.0006,10.0018,25,50
4,0.0008,10.0018,25,50
5,0.001,10.0018,25,50
0,0.0,4.41068,25,51
1,0.0002,10.0019,25,51
2,0.0004,10.0017,25,51
3,0.0006,10.0017,25,51
4,0.0008,10.0017,25,51
5,0.001,10.0017,25,51
0,0.0,2.8974,25,52
1,0.0002,10.0016,25,52
2,0.0004,10.0021,25,52
3,0.0006,10.002,25,52
4,0.0008,10.002,25,52
5,0.001,10.002,25,52
0,0.0,0.0007343289999999999,25,53
