2021-01-07 23:23:13,179 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 66
2021-01-07 23:23:13,184 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 67
2021-01-07 23:23:13,190 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 68
2021-01-07 23:23:13,200 - data_pipeline - INFO - ProcessConductance - y intercept: -2.780505100000001 > 1 setting to conductance to 0
2021-01-07 23:23:13,201 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 69
2021-01-07 23:23:13,210 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 7
2021-01-07 23:23:13,215 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 70
2021-01-07 23:23:13,225 - data_pipeline - INFO - ProcessConductance - y intercept: -3.6343698899999985 > 1 setting to conductance to 0
2021-01-07 23:23:13,226 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 71
2021-01-07 23:23:13,237 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 72
2021-01-07 23:23:13,243 - data_pipeline - INFO - ProcessConductance - y intercept: -1.0307748399999976 > 1 setting to conductance to 0
2021-01-07 23:23:13,243 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 73
2021-01-07 23:23:13,248 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 74
2021-01-07 23:23:13,253 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 75
2021-01-07 23:23:13,259 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 76
2021-01-07 23:23:13,264 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 77
2021-01-07 23:23:13,269 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 78
2021-01-07 23:23:13,274 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 79
2021-01-07 23:23:13,279 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 8
2021-01-07 23:23:13,283 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 80
2021-01-07 23:23:13,288 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 81
2021-01-07 23:23:13,292 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 82
2021-01-07 23:23:13,297 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 83
2021-01-07 23:23:13,303 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 84
2021-01-07 23:23:13,308 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 85
2021-01-07 23:23:13,313 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 86
2021-01-07 23:23:13,317 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 87
