sample,position,conductance
12,94,0.0
12,95,0.0
12,96,0.0
15,0,0.0
15,1,0.0
15,10,0.0
15,11,0.0
15,12,0.1795067411192245
15,13,0.0
15,14,0.04385708667084456
15,15,0.016059929968839943
15,16,0.0
15,17,0.05392909887441878
15,18,0.05099723824456286
15,19,0.026633882133352653
15,2,0.0
15,20,0.0014982646424691838
15,21,0.0
15,22,0.04127037282475655
15,23,0.0179622059533961
15,24,0.0
15,25,0.0
15,26,0.0
15,27,0.0
15,28,0.04536208191996695
15,29,0.0012914829036399047
15,3,0.0
15,30,0.009893376676876111
15,31,0.0
15,32,0.0015803615603103838
15,33,0.012377734616224224
15,34,2.8812655176728588
15,35,0.0004105409798193889
15,36,0.011985145747333843
15,37,0.007429005531138713
15,38,0.0
15,39,0.0018826026470603458
15,4,0.0
15,40,0.0
15,41,0.021688479415905695
15,42,0.0
15,43,0.0
15,44,0.0005146644064566561
15,45,0.0004977147073700597
15,46,0.0004294078217487746
15,47,0.8650614175069399
15,48,0.0
15,49,0.0
15,5,0.0
15,50,0.0044596711776134414
15,51,0.06719186064676867
15,52,0.04349394840735412
15,53,0.0
15,54,0.0
15,55,0.0003362458710508131
15,56,0.0002751495092663299
15,57,0.19807139019206496
15,58,0.0
15,59,0.0002678335178227996
15,6,0.0
15,60,0.0007136815973784637
15,61,0.010984003266391503
15,62,0.11093783001337655
15,63,0.0
15,64,0.0
15,65,0.0
15,66,0.0
15,67,0.0
15,68,0.0
15,69,0.0003676232714353776
15,7,0.0
15,70,0.0003764049583932712
15,71,0.001979209982501804
15,72,0.0
15,73,0.0
