sample,position,xrf_avg,xrf_std
22,56,516998.82245773065,452936.71450245625
22,57,302348.41920504783,85299.4588219765
22,58,286564.90924037405,56839.03584189752
22,59,281223.75524895004,51250.796780141136
22,60,274487.32475727063,52376.53957549908
22,61,267937.5236063897,56433.4545156658
22,62,269866.02679464093,60956.96510798669
22,63,327623.3642160456,291061.4822335007
22,64,239027.75000555435,318843.9205107125
22,65,103001.62189784262,83782.17988421199
22,66,378413.2062476393,459464.6383414442
22,67,499553.42264880345,409508.94533089135
22,68,330707.19189495425,125627.75503674522
22,69,305761.0700082205,84199.41320398504
22,70,290039.7698238129,67353.57856206922
22,71,276504.69906018785,65822.09934929531
22,72,280459.46366282285,70972.13275631951
22,73,307120.79806260957,102218.00380722233
22,74,321944.499988891,271929.6330665149
22,75,215770.17929747383,291733.0869633606
22,76,256393.16581128218,350679.6866209935
22,77,381950.2766113443,350594.1893924669
22,78,341718.3230020662,200190.29330998953
22,79,303992.534826368,109973.70941665795
22,80,301450.8209469216,93765.82794623845
22,81,300855.3844786598,93734.57943826972
22,82,301015.3524850584,87543.00293427637
22,83,336812.63747250533,172227.34187222464
22,84,274869.4705503343,251729.16719382667
22,85,243133.59550312156,303023.6411975345
22,86,331515.91903841443,294418.4365402352
22,87,322779.888466751,217038.4463612787
22,88,290297.4960563442,112295.8890918419
22,89,290919.5938590059,90215.84770150881
22,90,329276.36694883235,173010.37151334775
22,91,355777.73334222037,270911.16087544843
22,92,209655.84660845605,271400.88861029054
22,93,262880.7571818969,277723.9041030416
22,94,284920.7936190539,257357.8513109669
22,95,292066.0312381967,252811.84655481833
22,96,293176.9201715212,271322.44388339296
14,0,309546.97949299024,391059.1927321759
14,1,324264.03608167253,373443.00196517055
14,2,337807.99395676417,388650.82131581847
14,3,309982.4479548534,355620.6497764585
14,4,243489.07996178535,284084.4932419137
14,5,391788.30900486564,440093.92339630367
14,6,387709.1248416982,329677.9768916033
14,7,298980.20395920804,192372.2048653251
14,8,249834.47754893455,94899.01978997349
14,9,298553.6226088115,147397.14804619274
14,10,318078.6065009219,198033.46006073826
14,11,257823.990757404,244649.63761635244
14,12,390037.54804594634,477757.9870780779
14,13,400284.3875669309,373293.8997698793
14,14,285560.6656446487,147027.3353416547
14,15,240529.67184340899,100102.7682584173
14,16,237401.40860716734,109410.66760927574
14,17,290786.28718700696,109025.04640087805
14,18,327436.73487524694,78156.379881439
14,19,316274.52287320304,222156.34209646037
14,20,218347.44162278651,261019.8217060747
14,21,337105.9121509031,500338.39891171013
14,22,434917.4609522539,481466.4267351922
14,23,298802.4617298762,215945.33664527952
14,24,236548.24590637416,85228.85202742419
14,25,217156.56868626265,97335.23380418819
14,26,217174.34290919587,102391.81102380567
14,27,255824.39067741993,101176.43825354066
14,28,313101.8240796284,57093.35503703657
14,29,300251.06089893123,161493.40236665236
14,30,248190.3619276144,267081.4313926502
14,31,164367.12657468504,240066.62596196146
